epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.907,0.81725,1.44451,1.24378,0.82675,0.3659,0.45753,0.38339,0.71119,1.59835,1.24955,0.000330918,0.000330918,0.0672391
2,590.295,0.82347,1.25523,1.22702,0.54973,0.59544,0.58185,0.45234,0.7517,1.67147,1.22405,0.000657675,0.000657675,0.0342326
3,871.758,0.83125,1.21054,1.23119,0.53679,0.54095,0.57302,0.45975,0.6712,1.32334,1.19058,0.000977832,0.000977832,0.00121938
4,1287.15,0.79235,1.16337,1.20386,0.50853,0.57962,0.56508,0.44606,0.72571,1.20371,1.20457,0.0009703,0.0009703,0.0009703
5,1599.22,0.7775,1.095,1.19105,0.48636,0.69758,0.64587,0.52833,0.57206,1.22293,1.06293,0.0009604,0.0009604,0.0009604
6,1998.57,0.74492,1.07242,1.16995,0.63962,0.65992,0.67788,0.5749,0.55485,1.04395,1.0366,0.0009505,0.0009505,0.0009505
7,2234.2,0.72231,1.01703,1.15427,0.62303,0.71016,0.72569,0.61625,0.57193,0.90376,1.05727,0.0009406,0.0009406,0.0009406
8,2641.93,0.73142,1.00653,1.15443,0.58177,0.70398,0.72181,0.61997,0.54745,0.9024,1.03181,0.0009307,0.0009307,0.0009307
9,2927.19,0.70039,0.96388,1.14286,0.64272,0.74262,0.74998,0.64333,0.55099,0.88305,1.03511,0.0009208,0.0009208,0.0009208
10,3309.06,0.7065,0.9521,1.14043,0.73518,0.64408,0.75465,0.6561,0.52258,0.82606,1.01284,0.0009109,0.0009109,0.0009109
11,3598.78,0.67823,0.89018,1.12539,0.76226,0.56471,0.70982,0.61038,0.50503,0.95014,1.00218,0.000901,0.000901,0.000901
12,4120.95,0.69463,0.95222,1.14171,0.66387,0.75005,0.7817,0.66966,0.51322,0.868,1.0089,0.0008911,0.0008911,0.0008911
13,4329.83,0.6605,0.90288,1.11315,0.66704,0.77176,0.74999,0.64364,0.51716,0.87268,0.99643,0.0008812,0.0008812,0.0008812
14,4671.8,0.67894,0.89433,1.12742,0.69767,0.72404,0.76451,0.67276,0.50228,0.83551,0.99924,0.0008713,0.0008713,0.0008713
15,4934.62,0.65064,0.86005,1.10773,0.70084,0.71234,0.734,0.63192,0.51897,0.83551,1.00264,0.0008614,0.0008614,0.0008614
16,5142.81,0.65198,0.87016,1.10953,0.7088,0.74028,0.78208,0.67852,0.50869,0.85522,0.99732,0.0008515,0.0008515,0.0008515
17,5334.6,0.65311,0.87746,1.11452,0.70696,0.70122,0.75614,0.65465,0.48457,0.80206,0.98187,0.0008416,0.0008416,0.0008416
18,5567.68,0.63657,0.85972,1.10393,0.75381,0.70432,0.80797,0.70849,0.48689,0.75502,0.97215,0.0008317,0.0008317,0.0008317
19,5779.92,0.63839,0.83021,1.10028,0.74226,0.70677,0.80661,0.70003,0.47281,0.81793,0.96617,0.0008218,0.0008218,0.0008218
20,5942.91,0.63858,0.83243,1.10297,0.76812,0.71751,0.78944,0.69314,0.45964,0.82153,0.95714,0.0008119,0.0008119,0.0008119
21,6194.85,0.63331,0.82543,1.09753,0.70202,0.77011,0.81159,0.71644,0.4584,0.73628,0.95374,0.000802,0.000802,0.000802
22,6456.86,0.61624,0.82122,1.0828,0.76059,0.73349,0.81652,0.71571,0.46534,0.7314,0.96282,0.0007921,0.0007921,0.0007921
23,6689.68,0.62396,0.78205,1.08766,0.71617,0.71793,0.79517,0.69541,0.467,0.75282,0.95786,0.0007822,0.0007822,0.0007822
24,6951.41,0.61468,0.79938,1.08426,0.7511,0.7659,0.83928,0.74301,0.44951,0.70906,0.94603,0.0007723,0.0007723,0.0007723
25,7193.82,0.61442,0.79251,1.08783,0.69274,0.78068,0.79831,0.69825,0.46253,0.83152,0.9696,0.0007624,0.0007624,0.0007624
26,7467.78,0.6095,0.7873,1.08275,0.76886,0.68604,0.78306,0.69255,0.45762,0.79963,0.95488,0.0007525,0.0007525,0.0007525
27,7684.81,0.60453,0.80098,1.07304,0.7418,0.72155,0.80106,0.69637,0.47629,0.77891,0.97709,0.0007426,0.0007426,0.0007426
28,7946.89,0.59587,0.75302,1.07506,0.732,0.78585,0.83777,0.73986,0.46274,0.7446,0.96303,0.0007327,0.0007327,0.0007327
29,8197.9,0.60102,0.76247,1.0756,0.72927,0.69713,0.77788,0.69214,0.46612,0.82322,0.95898,0.0007228,0.0007228,0.0007228
30,8447.64,0.59055,0.76436,1.07376,0.7119,0.80196,0.83679,0.75221,0.4361,0.67697,0.93683,0.0007129,0.0007129,0.0007129
31,8680.22,0.59712,0.77542,1.07175,0.6665,0.82194,0.82431,0.72773,0.44473,0.75849,0.93988,0.000703,0.000703,0.000703
32,8930.25,0.59895,0.721,1.0744,0.70419,0.8225,0.83779,0.74263,0.44982,0.68426,0.94983,0.0006931,0.0006931,0.0006931
33,9176.39,0.58652,0.73908,1.06788,0.78459,0.75127,0.8538,0.759,0.45437,0.71496,0.96047,0.0006832,0.0006832,0.0006832
34,9353.41,0.57775,0.72644,1.05978,0.80392,0.76454,0.85916,0.77282,0.43204,0.70416,0.93277,0.0006733,0.0006733,0.0006733
35,9575.33,0.58383,0.74473,1.06676,0.78718,0.74849,0.84713,0.75679,0.436,0.6609,0.94104,0.0006634,0.0006634,0.0006634
36,9806.11,0.5769,0.70647,1.06375,0.76161,0.79034,0.84024,0.75433,0.43338,0.7372,0.9304,0.0006535,0.0006535,0.0006535
37,10036.3,0.57635,0.71274,1.05206,0.76992,0.74641,0.83244,0.74357,0.44023,0.68552,0.94669,0.0006436,0.0006436,0.0006436
38,10267.1,0.57202,0.72185,1.05915,0.80227,0.72562,0.84214,0.75545,0.45326,0.75849,0.95439,0.0006337,0.0006337,0.0006337
