epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,155.706,1.35925,2.55202,2.18189,0.02665,3.36669,0.79406,0.40784,0.47237,0.23572,0.7968,0.41007,0.47416,0.31511,1.90563,1.73163,1.45622,0.05661,0,0.000199111,0.000199111,0.0753102
2,308.03,1.34681,2.10558,1.44766,0.02705,2.48789,0.57885,0.61708,0.62473,0.39428,0.57509,0.60353,0.61638,0.40999,1.33836,1.48009,1.12975,0.03741,0,0.00039884,0.00039884,0.05051
3,455.585,1.33006,2.07428,1.32731,0.02733,2.16053,0.82009,0.49824,0.6538,0.43751,0.81705,0.49542,0.6467,0.42641,1.15471,1.42733,0.96662,0.02899,0,0.000597487,0.000597487,0.0257086
4,600.856,1.27972,1.9938,1.25508,0.02562,2.0537,0.60771,0.61758,0.66042,0.44334,0.60581,0.61423,0.65822,0.44245,1.12785,1.35146,1.11306,0.02972,0,0.000794241,0.000794241,0.000905352
5,749.289,1.27341,1.9885,1.19517,0.02493,1.93008,0.5388,0.62679,0.63286,0.43976,0.54209,0.62744,0.63214,0.4288,1.05396,1.32968,1.0529,0.02868,0,0.000791346,0.000791346,0.000791346
6,892.197,1.25378,1.96311,1.18628,0.02549,2.08133,0.55482,0.65268,0.60961,0.44425,0.55774,0.64446,0.60493,0.44156,1.03822,1.2356,0.95598,0.02646,0,0.000786507,0.000786507,0.000786507
7,1036.36,1.22996,1.92631,1.15411,0.02377,1.90323,0.63603,0.65372,0.67097,0.48054,0.63313,0.65037,0.66904,0.48333,1.03866,1.26355,0.85286,0.02696,0,0.000780618,0.000780618,0.000780618
8,1178.4,1.21646,1.89874,1.12911,0.02366,1.83649,0.64555,0.6203,0.69395,0.42968,0.64354,0.61807,0.68923,0.48546,1.29341,1.34684,1.00483,0.03616,0,0.000773698,0.000773698,0.000773698
9,1314.32,1.22021,1.86507,1.105,0.02376,1.76692,0.69773,0.65818,0.717,0.40621,0.69453,0.65442,0.71433,0.51869,1.60965,1.11262,0.98725,0.04844,0,0.000765764,0.000765764,0.000765764
10,1447.62,1.24137,1.88538,1.06865,0.02429,1.65814,0.71306,0.74584,0.80579,0.54717,0.70715,0.73896,0.79731,0.54812,1.09319,1.24337,0.74077,0.02949,0,0.000756839,0.000756839,0.000756839
11,1583.7,1.21312,1.85363,1.04199,0.0237,1.61688,0.76081,0.70767,0.79303,0.55951,0.75756,0.70433,0.78786,0.58426,1.10409,1.27902,0.72133,0.0294,0,0.000746946,0.000746946,0.000746946
12,1724.09,1.18117,1.84287,1.0487,0.02316,1.669,0.76581,0.7745,0.83756,0.55247,0.76476,0.77339,0.83515,0.62406,1.19285,1.09494,0.69287,0.03195,0,0.000736114,0.000736114,0.000736114
13,1947.54,1.19735,1.8685,1.03289,0.02248,1.55472,0.68798,0.73122,0.78078,0.57078,0.63862,0.77419,0.77453,0.55153,0.89573,1.18384,0.73616,0.0215,0,0.000724371,0.000724371,0.000724371
14,2157.23,1.1452,1.80311,0.99115,0.02161,1.52507,0.79591,0.71131,0.79985,0.59939,0.79591,0.71131,0.79937,0.57678,0.92042,1.2507,0.68653,0.02304,0,0.00071175,0.00071175,0.00071175
15,2361.99,1.12408,1.81294,0.99883,0.02111,1.56727,0.78004,0.77101,0.83393,0.61448,0.77872,0.7699,0.83045,0.62748,0.95661,1.23549,0.67781,0.02396,0,0.000698285,0.000698285,0.000698285
16,2515.99,1.13302,1.80649,0.98792,0.02133,1.51778,0.81738,0.76772,0.8335,0.61315,0.81362,0.76362,0.82902,0.62246,0.95592,1.31267,0.66843,0.02513,0,0.000684014,0.000684014,0.000684014
17,2658.67,1.1094,1.72859,0.93499,0.02059,1.42194,0.76781,0.79792,0.84433,0.56704,0.77244,0.80309,0.84945,0.63156,1.26072,1.10915,0.70351,0.03604,0,0.000668976,0.000668976,0.000668976
18,2796.94,1.09952,1.73566,0.9072,0.02094,1.3327,0.8115,0.75588,0.8323,0.58742,0.80912,0.75388,0.82815,0.60532,1.05944,1.2629,0.67388,0.02813,0,0.000653211,0.000653211,0.000653211
19,2935.83,1.09737,1.71589,0.93152,0.02059,1.32977,0.70373,0.75185,0.79716,0.6223,0.69986,0.74618,0.79249,0.60237,0.86625,1.30001,0.64948,0.02176,0,0.000636763,0.000636763,0.000636763
20,3077.41,1.10192,1.71565,0.91878,0.02088,1.39257,0.74963,0.75082,0.82253,0.56839,0.74963,0.75082,0.82079,0.62973,1.12523,1.05377,0.77767,0.03026,0,0.000619677,0.000619677,0.000619677
21,3216.62,1.09881,1.71793,0.90734,0.02071,1.44272,0.77198,0.82446,0.85332,0.60363,0.76985,0.82246,0.85053,0.65831,1.05745,1.14889,0.61956,0.02802,0,0.000602,0.000602,0.000602
